source	term	raw_term	source_id	source_type	count	synset	overlap_clean	overlap_merged	existing_clean_roles	existing_clean_sources	existing_merged_roles	existing_merged_sources	source_url
visual_genome_attributes	white	white		raw_attribute	296451	white.a.01	yes	yes	color_attribute	css_color_4|ovad|paco|vaw	color_attribute	css_color_4|ovad|paco|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	black	black		raw_attribute	187682	black.a.01	yes	yes	color_attribute	css_color_4|ovad|paco|vaw	color_attribute	css_color_4|ovad|paco|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	blue	blue		raw_attribute	111892	blue.s.01	yes	yes	color_attribute	css_color_4|ovad|paco|vaw	color_attribute	css_color_4|ovad|paco|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	green	green		raw_attribute	111069	green.s.01	yes	yes	color_attribute	css_color_4|ovad|paco|vaw	color_attribute	css_color_4|ovad|paco|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	red	red		raw_attribute	102484	red.s.01	yes	yes	color_attribute	css_color_4|ovad|paco|vaw	color_attribute	css_color_4|ovad|paco|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	brown	brown		raw_attribute	90790	brown.s.01	yes	yes	color_attribute	css_color_4|ovad|paco|vaw	color_attribute	css_color_4|ovad|paco|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	yellow	yellow		raw_attribute	58412	yellow.s.01	yes	yes	color_attribute	css_color_4|ovad|paco|vaw	color_attribute	css_color_4|ovad|paco|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	small	small		raw_attribute	43723	small.a.01	yes	yes	size_attribute	ovad|vaw	size_attribute	ovad|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	large	large		raw_attribute	42913	large.a.01	yes	yes	size_attribute	ovad|vaw	size_attribute	ovad|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	wooden	wooden		raw_attribute	31424	wooden.s.01	yes	yes	material_attribute	ovad|vaw	material_attribute	ovad|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	gray	gray		raw_attribute	31278	grey.s.01	yes	yes	color_attribute	css_color_4|ovad|vaw	color_attribute	css_color_4|ovad|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	silver	silver		raw_attribute	30800	silver.s.01	yes	yes	color_attribute|material_attribute	css_color_4|ovad|vaw	color_attribute|material_attribute	css_color_4|ovad|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	metal	metal		raw_attribute	28956	metallic.a.01	yes	yes	material_attribute	fashionpedia|ovad|paco|vaw	material_attribute	fashionpedia|ovad|paco|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	orange	orange		raw_attribute	28446	orange.s.01	yes	yes	color_attribute	css_color_4|ovad|paco|vaw	color_attribute	css_color_4|ovad|paco|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	grey	grey		raw_attribute	27903	grey.s.01	yes	yes	color_attribute	css_color_4|paco	color_attribute	css_color_4|paco	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	tall	tall		raw_attribute	22648	tall.a.01	yes	yes	size_attribute	vaw	size_attribute	vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	long	long		raw_attribute	20580	long.a.02	yes	yes	size_attribute	ovad|vaw	size_attribute	ovad|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	dark	dark		raw_attribute	19521	dark.a.02	yes	yes	brightness_attribute|tone_attribute	ovad|vaw	brightness_attribute|tone_attribute	ovad|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	pink	pink		raw_attribute	18708	pink.s.01	yes	yes	color_attribute	css_color_4|ovad|paco|vaw	color_attribute	css_color_4|ovad|paco|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	clear	clear		raw_attribute	14065	clean.s.03	yes	yes	opacity_attribute|weather_attribute	vaw	opacity_attribute|weather_attribute	vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	standing	standing		raw_attribute	13724	stand.v.01	yes	yes	pose_attribute|spatial_attribute	ovad|vaw	pose_attribute|spatial_attribute	ovad|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	round	round		raw_attribute	12676	round.a.01	yes	yes	shape_attribute	vaw	shape_attribute	vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	tan	tan		raw_attribute	11815	tan.s.01	yes	yes	color_attribute	css_color_4|ovad|vaw	color_attribute	css_color_4|ovad|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	glass	glass		raw_attribute	10478	glass.n.01	yes	yes	material_attribute	ovad|paco|vaw	material_attribute	ovad|paco|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	wood	wood		raw_attribute	10295	wood.n.01	yes	yes	material_attribute	fashionpedia|ovad|paco	material_attribute	fashionpedia|ovad|paco	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	open	open		raw_attribute	10143	open.a.01	yes	yes	state_attribute	ovad|vaw	state_attribute	ovad|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	purple	purple		raw_attribute	9811	purple.s.01	yes	yes	color_attribute	css_color_4|paco|vaw	color_attribute	css_color_4|paco|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	big	big		raw_attribute	9590	large.a.01	yes	yes	size_attribute	ovad|vaw	size_attribute	ovad|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	short	short		raw_attribute	9312	short.a.02	yes	yes	size_attribute	ovad|vaw	size_attribute	ovad|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	plastic	plastic		raw_attribute	9158	fictile.s.03	yes	yes	material_attribute	fashionpedia|ovad|paco|vaw	material_attribute	fashionpedia|ovad|paco|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	sitting	sitting		raw_attribute	7968	sit.v.01	yes	yes	pose_attribute|spatial_attribute	ovad|vaw	pose_attribute|spatial_attribute	ovad|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	walking	walking		raw_attribute	7600	walk.v.01	yes	yes	activity_attribute|pose_attribute	vaw	activity_attribute|pose_attribute	vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	striped	striped		raw_attribute	7547	striped.s.01	yes	yes	pattern_attribute|texture_attribute	dtd|ovad|paco|vaw	pattern_attribute|texture_attribute	dtd|ovad|paco|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	brick	brick		raw_attribute	7006	brick.n.01	yes	yes	material_attribute	ovad|vaw	material_attribute	ovad|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	young	young		raw_attribute	6982	young.a.01	yes	yes	age_attribute	ovad|vaw	age_attribute	ovad|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	gold	gold		raw_attribute	6492	gold.s.01	yes	yes	color_attribute	css_color_4	color_attribute	css_color_4	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	old	old		raw_attribute	5960	old.a.01	yes	yes	age_attribute|condition_attribute	ovad|vaw	age_attribute|condition_attribute	ovad|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	empty	empty		raw_attribute	5893	empty.a.01	yes	yes	state_attribute	ovad|vaw	state_attribute	ovad|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	on	on		raw_attribute	5496	on.a.01	yes	yes	state_attribute	ovad	state_attribute	ovad	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	bright	bright		raw_attribute	4959	bright.a.01	yes	yes	brightness_attribute|tone_attribute	ovad|vaw	brightness_attribute|tone_attribute	ovad|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	concrete	concrete		raw_attribute	4944	concrete.a.01	yes	yes	material_attribute	ovad|vaw	material_attribute	ovad|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	cloudy	cloudy		raw_attribute	4764	cloudy.a.02	yes	yes	weather_attribute	vaw	weather_attribute	vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	colorful	colorful		raw_attribute	4728	colorful.a.01	yes	yes	color_attribute	ovad|vaw	color_attribute	ovad|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	one	one		raw_attribute	4569	one.s.01	yes	yes	group_attribute	ovad	group_attribute	ovad	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	beige	beige		raw_attribute	4444	beige.s.01	yes	yes	color_attribute	css_color_4|vaw	color_attribute	css_color_4|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	wet	wet		raw_attribute	4375	wet.a.01	yes	yes	state_attribute	ovad|vaw	state_attribute	ovad|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
visual_genome_attributes	light	light		raw_attribute	4293	light.a.02	yes	yes	tone_attribute|weight_attribute	ovad|vaw	tone_attribute|weight_attribute	ovad|vaw	https://homes.cs.washington.edu/~ranjay/visualgenome/data/dataset/attributes.json.zip
