term	canonical	roles	primary_role	sources	source_types	parent_types	confidence	source_count	entry_count	provenance
above the hip (length)	above the hip (length)	size_attribute	size_attribute	fashionpedia	length	length	medium	1	1	modifier_attributes_clean
above the knee (length)	above the knee (length)	size_attribute	size_attribute	fashionpedia	length	length	medium	1	1	modifier_attributes_clean
abstract	abstract	pattern_attribute	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	1	1	modifier_attributes_clean
aged	aged	condition_attribute	condition_attribute	ovad|vaw	maturity|newness	maturity|newness	high	2	3	modifier_attributes_clean
aliceblue	aliceblue	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
aluminum	aluminum	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
amber	amber	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
antiquewhite	antiquewhite	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
aqua	aqua	color_attribute	color_attribute	css_color_4|vaw	color	color	high	2	2	modifier_attributes_clean
aquamarine	aquamarine	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
arch shaped	arch shaped	shape_attribute	shape_attribute	vaw	shape	shape	high	1	1	modifier_attributes_clean
argyle	argyle	pattern_attribute	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	1	1	modifier_attributes_clean
arrow shaped	arrow shaped	shape_attribute	shape_attribute	vaw	shape	shape	high	1	1	modifier_attributes_clean
asphalt	asphalt	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
azure	azure	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
bald	bald	size_attribute	size_attribute	ovad|vaw	hair length|other	length|other	high	2	2	modifier_attributes_clean
bamboo	bamboo	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
banded	banded	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
beige	beige	color_attribute	color_attribute	css_color_4|vaw	color	color	high	2	2	modifier_attributes_clean
below the knee (length)	below the knee (length)	size_attribute	size_attribute	fashionpedia	length	length	medium	1	1	modifier_attributes_clean
bend	bend	state_attribute	state_attribute	ovad	state	state	high	1	1	modifier_attributes_clean
bending	bending	pose_attribute	pose_attribute	coco_attributes|vaw	object_attribute|pose	clean_exact_overlap|pose	high	2	2	coco_high_typed|modifier_attributes_clean
big	big	size_attribute	size_attribute	ovad|vaw	size	size	high	2	2	modifier_attributes_clean
bisque	bisque	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
black	black	color_attribute	color_attribute	css_color_4|ovad|paco|vaw	clothes color|color|hair color	color	high	4	6	modifier_attributes_clean
black haired	black haired	color_attribute	color_attribute	vaw	hair color	hair color	high	1	1	modifier_attributes_clean
black lettered	black lettered	color_attribute	color_attribute	vaw	letter color	letter color	high	1	1	modifier_attributes_clean
blanchedalmond	blanchedalmond	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
blond	blond	color_attribute	color_attribute	vaw	color|hair color	color|hair color	high	1	2	modifier_attributes_clean
blotchy	blotchy	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
blue	blue	color_attribute	color_attribute	css_color_4|ovad|paco|vaw	clothes color|color|hair color	color	high	4	6	modifier_attributes_clean
blue plaid	blue plaid	pattern_attribute	pattern_attribute	vaw	pattern	pattern	high	1	1	modifier_attributes_clean
blue striped	blue striped	pattern_attribute	pattern_attribute	vaw	pattern	pattern	high	1	1	modifier_attributes_clean
