term	canonical	roles	primary_role	sources	source_types	parent_types	confidence	source_count	entry_count	provenance
grassy	grassy	surface_cover_attribute	surface_cover_attribute	10k_auto_feedback_v1	auto_feedback_candidate	surface_cover	high	565	1	stage9_auto_frozen_v1
light	light	brightness_attribute	brightness_attribute	10k_auto_feedback_v1	auto_feedback_candidate	brightness	high	500	1	stage9_auto_frozen_v1
paved	paved	surface_material_attribute	surface_material_attribute	10k_auto_feedback_v1	auto_feedback_candidate	surface_material	high	445	1	stage9_auto_frozen_v1
young	young	age_attribute	age_attribute	10k_auto_feedback_v1	auto_feedback_candidate	age	high	357	1	stage9_auto_frozen_v1
outdoor	outdoor	scene_context_attribute	scene_context_attribute	10k_auto_feedback_v1	auto_feedback_candidate	scene_context	high	316	1	stage9_auto_frozen_v1
indoor	indoor	scene_context_attribute	scene_context_attribute	10k_auto_feedback_v1	auto_feedback_candidate	scene_context	high	302	1	stage9_auto_frozen_v1
visible	visible	visibility_attribute	visibility_attribute	10k_auto_feedback_v1	auto_feedback_candidate	visibility	high	268	1	stage9_auto_frozen_v1
distant	distant	spatial_depth_attribute	spatial_depth_attribute	10k_auto_feedback_v1	auto_feedback_candidate	spatial_depth	high	248	1	stage9_auto_frozen_v1
calm	calm	state_attribute	state_attribute	10k_auto_feedback_v1	auto_feedback_candidate	state	high	239	1	stage9_auto_frozen_v1
ornate	ornate	style_attribute	style_attribute	10k_auto_feedback_v1	auto_feedback_candidate	style	high	219	1	stage9_auto_frozen_v1
bare	bare	condition_attribute	condition_attribute	10k_auto_feedback_v1	auto_feedback_candidate	condition	medium	215	1	stage9_auto_frozen_v1
light-colored	light_colored	color_attribute	color_attribute	10k_auto_feedback_v1	auto_feedback_candidate	color	high	208	1	stage9_auto_frozen_v1
faint	faint	visibility_attribute	visibility_attribute	10k_auto_feedback_v1	auto_feedback_candidate	visibility	high	183	1	stage9_auto_frozen_v1
decorative	decorative	style_attribute	style_attribute	10k_auto_feedback_v1	auto_feedback_candidate	style	high	175	1	stage9_auto_frozen_v1
natural	natural	style_attribute	style_attribute	10k_auto_feedback_v1	auto_feedback_candidate	style	medium	168	1	stage9_auto_frozen_v1
formal	formal	style_attribute	style_attribute	10k_auto_feedback_v1	auto_feedback_candidate	style	medium	163	1	stage9_auto_frozen_v1
dense	dense	density_attribute	density_attribute	10k_auto_feedback_v1	auto_feedback_candidate	density	high	141	1	stage9_auto_frozen_v1
blurred	blurred	visual_quality_attribute	visual_quality_attribute	10k_auto_feedback_v1	auto_feedback_candidate	visual_quality	high	139	1	stage9_auto_frozen_v1
arched	arched	shape_attribute	shape_attribute	10k_auto_feedback_v1	auto_feedback_candidate	shape	high	137	1	stage9_auto_frozen_v1
modern	modern	style_attribute	style_attribute	10k_auto_feedback_v1	auto_feedback_candidate	style	medium	134	1	stage9_auto_frozen_v1
warm	warm	color_temperature_attribute	color_temperature_attribute	10k_auto_feedback_v1	auto_feedback_candidate	color_temperature	medium	125	1	stage9_auto_frozen_v1
vertical	vertical	orientation_attribute	orientation_attribute	10k_auto_feedback_v1	auto_feedback_candidate	orientation	high	119	1	stage9_auto_frozen_v1
handwritten	handwritten	text_style_attribute	text_style_attribute	10k_auto_feedback_v1	auto_feedback_candidate	text_style	high	111	1	stage9_auto_frozen_v1
lush	lush	density_attribute	density_attribute	10k_auto_feedback_v1	auto_feedback_candidate	density	medium	100	1	stage9_auto_frozen_v1
black-and-white	black_and_white	color_attribute	color_attribute	10k_auto_feedback_v1	auto_feedback_candidate	color	high	97	1	stage9_auto_frozen_v1
left	left	spatial_position_attribute	spatial_position_attribute	10k_auto_feedback_v1	auto_feedback_candidate	spatial_position	high	97	1	stage9_auto_frozen_v1
blonde	blonde	color_attribute	color_attribute	10k_auto_feedback_v1	auto_feedback_candidate	hair_color	high	89	1	stage9_auto_frozen_v1
fallen	fallen	state_attribute	state_attribute	10k_auto_feedback_v1	auto_feedback_candidate	state	high	88	1	stage9_auto_frozen_v1
ancient	ancient	style_attribute	style_attribute	10k_auto_feedback_v1	auto_feedback_candidate	style	medium	77	1	stage9_auto_frozen_v1
central	central	spatial_position_attribute	spatial_position_attribute	10k_auto_feedback_v1	auto_feedback_candidate	spatial_position	high	75	1	stage9_auto_frozen_v1
historic	historic	style_attribute	style_attribute	10k_auto_feedback_v1	auto_feedback_candidate	style	medium	74	1	stage9_auto_frozen_v1
traditional	traditional	style_attribute	style_attribute	10k_auto_feedback_v1	auto_feedback_candidate	style	medium	74	1	stage9_auto_frozen_v1
overhead	overhead	spatial_position_attribute	spatial_position_attribute	10k_auto_feedback_v1	auto_feedback_candidate	spatial_position	high	73	1	stage9_auto_frozen_v1
