source	term	assigned_roles	assigned_role_sources	classification_status	raw_term	source_id	source_type	count	synset	overlap_clean	overlap_merged	existing_merged_roles	existing_merged_sources	source_url
coco_attributes	standing	pose_attribute|spatial_attribute	ovad|vaw	classified_by_clean_lexicon_exact_overlap	standing	408	object attributes	54431		yes	yes	pose_attribute|spatial_attribute	ovad|vaw	https://cs.brown.edu/people/gmpatter/cocottributes/cocottributes_eccv_version.jbl
coco_attributes	sitting	pose_attribute|spatial_attribute	ovad|vaw	classified_by_clean_lexicon_exact_overlap	sitting	409	object attributes	11197		yes	yes	pose_attribute|spatial_attribute	ovad|vaw	https://cs.brown.edu/people/gmpatter/cocottributes/cocottributes_eccv_version.jbl
coco_attributes	walking	activity_attribute|pose_attribute	vaw	classified_by_clean_lexicon_exact_overlap	walking	411	object attributes	3094		yes	yes	activity_attribute|pose_attribute	vaw	https://cs.brown.edu/people/gmpatter/cocottributes/cocottributes_eccv_version.jbl
coco_attributes	eating	activity_attribute	vaw	classified_by_clean_lexicon_exact_overlap	eating	413	object attributes	828		yes	yes	activity_attribute	vaw	https://cs.brown.edu/people/gmpatter/cocottributes/cocottributes_eccv_version.jbl
coco_attributes	waiting	activity_attribute	vaw	classified_by_clean_lexicon_exact_overlap	waiting	414	object attributes	5550		yes	yes	activity_attribute	vaw	https://cs.brown.edu/people/gmpatter/cocottributes/cocottributes_eccv_version.jbl
coco_attributes	playing	activity_attribute	vaw	classified_by_clean_lexicon_exact_overlap	playing	416	object attributes	7499		yes	yes	activity_attribute	vaw	https://cs.brown.edu/people/gmpatter/cocottributes/cocottributes_eccv_version.jbl
coco_attributes	sleeping	activity_attribute|expression_attribute	ovad|vaw	classified_by_clean_lexicon_exact_overlap	sleeping	418	object attributes	224		yes	yes	activity_attribute|expression_attribute	ovad|vaw	https://cs.brown.edu/people/gmpatter/cocottributes/cocottributes_eccv_version.jbl
coco_attributes	working	activity_attribute	vaw	classified_by_clean_lexicon_exact_overlap	working	419	object attributes	272		yes	yes	activity_attribute	vaw	https://cs.brown.edu/people/gmpatter/cocottributes/cocottributes_eccv_version.jbl
coco_attributes	running	activity_attribute|pose_attribute	vaw	classified_by_clean_lexicon_exact_overlap	running	420	object attributes	370		yes	yes	activity_attribute|pose_attribute	vaw	https://cs.brown.edu/people/gmpatter/cocottributes/cocottributes_eccv_version.jbl
coco_attributes	hiding	activity_attribute	vaw	classified_by_clean_lexicon_exact_overlap	hiding	421	object attributes	12		yes	yes	activity_attribute	vaw	https://cs.brown.edu/people/gmpatter/cocottributes/cocottributes_eccv_version.jbl
coco_attributes	riding	activity_attribute	vaw	classified_by_clean_lexicon_exact_overlap	riding	422	object attributes	894		yes	yes	activity_attribute	vaw	https://cs.brown.edu/people/gmpatter/cocottributes/cocottributes_eccv_version.jbl
coco_attributes	drinking	activity_attribute	vaw	classified_by_clean_lexicon_exact_overlap	drinking	423	object attributes	62		yes	yes	activity_attribute	vaw	https://cs.brown.edu/people/gmpatter/cocottributes/cocottributes_eccv_version.jbl
coco_attributes	swimming	activity_attribute	vaw	classified_by_clean_lexicon_exact_overlap	swimming	424	object attributes	40		yes	yes	activity_attribute	vaw	https://cs.brown.edu/people/gmpatter/cocottributes/cocottributes_eccv_version.jbl
coco_attributes	smiling	expression_attribute	ovad|vaw	classified_by_clean_lexicon_exact_overlap	smiling	425	object attributes	4570		yes	yes	expression_attribute	ovad|vaw	https://cs.brown.edu/people/gmpatter/cocottributes/cocottributes_eccv_version.jbl
coco_attributes	jumping	pose_attribute	vaw	classified_by_clean_lexicon_exact_overlap	jumping	426	object attributes	312		yes	yes	pose_attribute	vaw	https://cs.brown.edu/people/gmpatter/cocottributes/cocottributes_eccv_version.jbl
coco_attributes	talking	activity_attribute	vaw	classified_by_clean_lexicon_exact_overlap	talking	434	object attributes	173		yes	yes	activity_attribute	vaw	https://cs.brown.edu/people/gmpatter/cocottributes/cocottributes_eccv_version.jbl
coco_attributes	skiing	activity_attribute	vaw	classified_by_clean_lexicon_exact_overlap	skiing	436	object attributes	114		yes	yes	activity_attribute	vaw	https://cs.brown.edu/people/gmpatter/cocottributes/cocottributes_eccv_version.jbl
coco_attributes	grazing	activity_attribute	vaw	classified_by_clean_lexicon_exact_overlap	grazing	440	object attributes	1278		yes	yes	activity_attribute	vaw	https://cs.brown.edu/people/gmpatter/cocottributes/cocottributes_eccv_version.jbl
coco_attributes	skating	activity_attribute	vaw	classified_by_clean_lexicon_exact_overlap	skating	441	object attributes	25		yes	yes	activity_attribute	vaw	https://cs.brown.edu/people/gmpatter/cocottributes/cocottributes_eccv_version.jbl
coco_attributes	leaning	pose_attribute	vaw	classified_by_clean_lexicon_exact_overlap	leaning	442	object attributes	198		yes	yes	pose_attribute	vaw	https://cs.brown.edu/people/gmpatter/cocottributes/cocottributes_eccv_version.jbl
coco_attributes	driving	activity_attribute	vaw	classified_by_clean_lexicon_exact_overlap	driving	446	object attributes	684		yes	yes	activity_attribute	vaw	https://cs.brown.edu/people/gmpatter/cocottributes/cocottributes_eccv_version.jbl
coco_attributes	cooking	activity_attribute	vaw	classified_by_clean_lexicon_exact_overlap	cooking	447	object attributes	1480		yes	yes	activity_attribute	vaw	https://cs.brown.edu/people/gmpatter/cocottributes/cocottributes_eccv_version.jbl
coco_attributes	surfing	activity_attribute	vaw	classified_by_clean_lexicon_exact_overlap	surfing	450	object attributes	40		yes	yes	activity_attribute	vaw	https://cs.brown.edu/people/gmpatter/cocottributes/cocottributes_eccv_version.jbl
coco_attributes	reading	activity_attribute	vaw	classified_by_clean_lexicon_exact_overlap	reading	451	object attributes	34		yes	yes	activity_attribute	vaw	https://cs.brown.edu/people/gmpatter/cocottributes/cocottributes_eccv_version.jbl
coco_attributes	climbing	activity_attribute	vaw	classified_by_clean_lexicon_exact_overlap	climbing	452	object attributes	11		yes	yes	activity_attribute	vaw	https://cs.brown.edu/people/gmpatter/cocottributes/cocottributes_eccv_version.jbl
coco_attributes	bending	pose_attribute	vaw	classified_by_clean_lexicon_exact_overlap	bending	453	object attributes	1163		yes	yes	pose_attribute	vaw	https://cs.brown.edu/people/gmpatter/cocottributes/cocottributes_eccv_version.jbl
coco_attributes	crouching	pose_attribute	vaw	classified_by_clean_lexicon_exact_overlap	crouching	461	object attributes	216		yes	yes	pose_attribute	vaw	https://cs.brown.edu/people/gmpatter/cocottributes/cocottributes_eccv_version.jbl
coco_attributes	hiking	activity_attribute	vaw	classified_by_clean_lexicon_exact_overlap	hiking 	464	object attributes	4		yes	yes	activity_attribute	vaw	https://cs.brown.edu/people/gmpatter/cocottributes/cocottributes_eccv_version.jbl
coco_attributes	waving	activity_attribute	vaw	classified_by_clean_lexicon_exact_overlap	waving	465	object attributes	80		yes	yes	activity_attribute	vaw	https://cs.brown.edu/people/gmpatter/cocottributes/cocottributes_eccv_version.jbl
coco_attributes	snowboarding	activity_attribute	vaw	classified_by_clean_lexicon_exact_overlap	snowboarding	469	object attributes	53		yes	yes	activity_attribute	vaw	https://cs.brown.edu/people/gmpatter/cocottributes/cocottributes_eccv_version.jbl
