term	canonical	confidence	sources	source_count	variant_of	synsets	rule_id
acoustic guitar	acoustic_guitar	high	visual_genome_object_synset|wordnet_noun_mwe	2		guitar.n.01|wordnet_noun	vg_object_synset_plus_wordnet
acoustic guitars	acoustic_guitar	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	acoustic guitar	guitar.n.01|wordnet_noun	vg_object_synset_plus_wordnet
adding machine	adding_machine	high	visual_genome_object_synset|wordnet_noun_mwe	2		machine.n.01|wordnet_noun	vg_object_synset_plus_wordnet
adding machines	adding_machine	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	adding machine	machine.n.01|wordnet_noun	vg_object_synset_plus_wordnet
adhesive tape	adhesive_tape	high	openimages_boxable|wordnet_noun_mwe	2		wordnet_noun	trusted_visual_object_label
adhesive tapes	adhesive_tape	high	openimages_boxable|plural_variant|wordnet_noun_mwe	2	adhesive tape	wordnet_noun	trusted_visual_object_label
aerosol can	aerosol_can	high	lvis_object|visual_genome_object_synset|wordnet_noun_mwe	3		aerosol.n.01|aerosol.n.02|wordnet_noun	trusted_visual_object_label
aerosol cans	aerosol_can	high	lvis_object|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	3	aerosol can	aerosol.n.01|aerosol.n.02|wordnet_noun	trusted_visual_object_label
air bubble	air_bubble	high	visual_genome_object_synset|wordnet_noun_mwe	2		air_bubble.n.01|wordnet_noun	vg_object_synset_plus_wordnet
air bubbles	air_bubble	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	air bubble	air_bubble.n.01|wordnet_noun	vg_object_synset_plus_wordnet
air conditioner	air_conditioner	high	lvis_object|visual_genome_object_synset|wordnet_noun_mwe	3		air_conditioner.n.01|wordnet_noun	trusted_visual_object_label
air conditioners	air_conditioner	high	lvis_object|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	3	air conditioner	air_conditioner.n.01|wordnet_noun	trusted_visual_object_label
air duct	air_duct	high	visual_genome_object_synset|wordnet_noun_mwe	2		air_passage.n.01|wordnet_noun	vg_object_synset_plus_wordnet
air ducts	air_duct	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	air duct	air_passage.n.01|wordnet_noun	vg_object_synset_plus_wordnet
air freshener	air_freshener	high	lvis_object	1		freshener.n.01	trusted_visual_object_label
air fresheners	air_freshener	high	lvis_object|plural_variant	1	air freshener	freshener.n.01	trusted_visual_object_label
air horn	air_horn	high	visual_genome_object_synset|wordnet_noun_mwe	2		air_horn.n.01|wordnet_noun	vg_object_synset_plus_wordnet
air horns	air_horn	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	air horn	air_horn.n.01|wordnet_noun	vg_object_synset_plus_wordnet
air mattress	air_mattress	high	visual_genome_object_synset|wordnet_noun_mwe	2		air_mattress.n.01|wordnet_noun	vg_object_synset_plus_wordnet
air mattresses	air_mattress	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	air mattress	air_mattress.n.01|wordnet_noun	vg_object_synset_plus_wordnet
air sock	air_sock	high	lvis_object|wordnet_noun_mwe	2		windsock.n.01|wordnet_noun	trusted_visual_object_label
air socks	air_sock	high	lvis_object|plural_variant|wordnet_noun_mwe	2	air sock	windsock.n.01|wordnet_noun	trusted_visual_object_label
air vent	air_vent	high	lvis_object|visual_genome_object_synset	2		air.n.01|vent.n.01	trusted_visual_object_label
air vents	air_vent	high	lvis_object|plural_variant|visual_genome_object_synset	2	air vent	air.n.01|vent.n.01	trusted_visual_object_label
air-sleeve	air_sleeve	high	lvis_object	1		windsock.n.01	trusted_visual_object_label
aircraft carrier	aircraft_carrier	high	visual_genome_object_synset|wordnet_noun_mwe	2		aircraft_carrier.n.01|wordnet_noun	vg_object_synset_plus_wordnet
aircraft carriers	aircraft_carrier	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	aircraft carrier	aircraft_carrier.n.01|wordnet_noun	vg_object_synset_plus_wordnet
airplane propellers	airplane_propeller	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	airplane propeller	airplane_propeller.n.01|wordnet_noun	vg_object_synset_plus_wordnet
airport terminal	airport_terminal	high	visual_genome_object_synset|wordnet_noun_mwe	2		air_terminal.n.01|wordnet_noun	vg_object_synset_plus_wordnet
airport terminals	airport_terminal	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	airport terminal	air_terminal.n.01|wordnet_noun	vg_object_synset_plus_wordnet
alarm clock	alarm_clock	high	lvis_object|openimages_boxable|visual_genome_object_synset|wordnet_noun_mwe	4		alarm_clock.n.01|wordnet_noun	trusted_visual_object_label
alarm clocks	alarm_clock	high	lvis_object|openimages_boxable|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	4	alarm clock	alarm_clock.n.01|wordnet_noun	trusted_visual_object_label
alcoholic beverage	alcoholic_beverage	high	lvis_object|visual_genome_object_synset|wordnet_noun_mwe	3		alcohol.n.01|beverage.n.01|wordnet_noun	trusted_visual_object_label
alcoholic beverages	alcoholic_beverage	high	lvis_object|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	3	alcoholic beverage	alcohol.n.01|beverage.n.01|wordnet_noun	trusted_visual_object_label
american eagle	american_eagle	high	visual_genome_object_synset|wordnet_noun_mwe	2		eagle.n.01|wordnet_noun	vg_object_synset_plus_wordnet
american eagles	american_eagle	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	american eagle	eagle.n.01|wordnet_noun	vg_object_synset_plus_wordnet
american flag	american_flag	high	visual_genome_object_synset|wordnet_noun_mwe	2		flag.n.01|wordnet_noun	vg_object_synset_plus_wordnet
american flags	american_flag	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	american flag	flag.n.01|wordnet_noun	vg_object_synset_plus_wordnet
amusement park	amusement_park	high	visual_genome_object_synset|wordnet_noun_mwe	2		amusement_park.n.01|wordnet_noun	vg_object_synset_plus_wordnet
amusement parks	amusement_park	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	amusement park	amusement_park.n.01|wordnet_noun	vg_object_synset_plus_wordnet
anchor rope	anchor_rope	high	visual_genome_object_synset|wordnet_noun_mwe	2		anchor_chain.n.01|wordnet_noun	vg_object_synset_plus_wordnet
anchor ropes	anchor_rope	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	anchor rope	anchor_chain.n.01|wordnet_noun	vg_object_synset_plus_wordnet
ankle brace	ankle_brace	high	visual_genome_object_synset|wordnet_noun_mwe	2		ankle.n.01|wordnet_noun	vg_object_synset_plus_wordnet
ankle bracelet	ankle_bracelet	high	lvis_object|visual_genome_object_synset|wordnet_noun_mwe	3		anklet.n.03|wordnet_noun	trusted_visual_object_label
ankle bracelets	ankle_bracelet	high	lvis_object|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	3	ankle bracelet	anklet.n.03|wordnet_noun	trusted_visual_object_label
ankle braces	ankle_brace	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	ankle brace	ankle.n.01|ankle_brace.n.01|wordnet_noun	vg_object_synset_plus_wordnet
answering machine	answering_machine	high	visual_genome_object_synset|wordnet_noun_mwe	2		machine.n.01|wordnet_noun	vg_object_synset_plus_wordnet
answering machines	answering_machine	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	answering machine	machine.n.01|wordnet_noun	vg_object_synset_plus_wordnet
apartment buildings	apartment_building	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	apartment building	apartment_building.n.01|wordnet_noun	vg_object_synset_plus_wordnet
apple fritter	apple_fritter	high	visual_genome_object_synset|wordnet_noun_mwe	2		apple_fritter.n.01|wordnet_noun	vg_object_synset_plus_wordnet
apple fritters	apple_fritter	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	apple fritter	apple_fritter.n.01|wordnet_noun	vg_object_synset_plus_wordnet
apple juice	apple_juice	high	visual_genome_object_synset|wordnet_noun_mwe	2		apple_juice.n.01|wordnet_noun	vg_object_synset_plus_wordnet
apple juices	apple_juice	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	apple juice	apple_juice.n.01|wordnet_noun	vg_object_synset_plus_wordnet
apple pie	apple_pie	high	visual_genome_object_synset|wordnet_noun_mwe	2		apple_pie.n.01|wordnet_noun	vg_object_synset_plus_wordnet
apple pies	apple_pie	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	apple pie	apple_pie.n.01|wordnet_noun	vg_object_synset_plus_wordnet
apple sauce	apple_sauce	high	visual_genome_object_synset|wordnet_noun_mwe	2		applesauce.n.01|wordnet_noun	vg_object_synset_plus_wordnet
apple sauces	apple_sauce	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	apple sauce	applesauce.n.01|wordnet_noun	vg_object_synset_plus_wordnet
arm band	arm_band	high	visual_genome_object_synset|wordnet_noun_mwe	2		armlet.n.01|wordnet_noun	vg_object_synset_plus_wordnet
arm bands	arm_band	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	arm band	armlet.n.01|wordnet_noun	vg_object_synset_plus_wordnet
