term	canonical	relation_type	confidence	is_multiword	sources	vg_count	openimages_triplet_count	synsets	alias_group	rule_id	provenance
above	above	spatial_vertical	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	31575	0	above.r.01|be.v.01	above	manual:above	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
across	across	spatial_path	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	1950	0	across.r.01|be.v.01	across	manual:across	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
against	against	spatial_contact	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	2998	0	be.v.01	against	manual:against	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
along	along	spatial_path	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	3499	0	along.r.01|be.v.01	along	manual:along	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
among	among	spatial_region	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	255	0	be.v.01	among	manual:among	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
around	around	spatial_proximity	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	26445	0	approximately.r.01|be.v.01	around|near	manual:around	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
at	at	spatial_location	high	no	manual_relation_seed|openimages_relationship_triplet|visual_genome_relationship_alias|visual_genome_relationship_count	9154	19	be.v.01	at	manual:at	manual_relation_seed|openimages_relationship_triplet|visual_genome_relationship_alias|visual_genome_relationship_count
at edge of	at_edge_of	spatial_region	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	212	0	be.v.01|border.v.05	at edge of	manual:at edge of	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
atop	on_top_of	spatial_support	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	619	0	atop.r.01|be.v.01	atop	manual:atop	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
attached to	attached_to	attachment_relation	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	9668	0	attach.v.01|be.v.01	attached to	manual:attached to	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
