term	canonical	surface_sources	source_detail	is_multiword	confidence	visual_whitelist	vg_count	gqa_count	openimages_triplet_count
at edge of	at_edge_of	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	212	0	0
attached from	attached_from	visual_genome_predicate_surface	visual_genome_relationship_count	yes	high	no	2	0	0
attached on	attached_on	visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	no	88	0	0
attached to	attached_to	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	9668	279	0
back of	back_of	visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	yes	medium	no	96	0	0
built from	built_from	visual_genome_predicate_surface	visual_genome_relationship_count	yes	high	no	2	0	0
built of	made_of	tpp_pdep_visual_seed|visual_genome_predicate_surface	manual_relation_seed|visual_genome_relationship_count	yes	medium	no	4	0	0
built out of	built_out_of	visual_genome_predicate_surface	visual_genome_relationship_count	yes	high	no	1	0	0
center of	center_of	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	medium	no	19	0	0
close to	near	gqa_scene_graph_relation_surface|streusle_mwe|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|streusle_mwe|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	609	160	0
composed of	made_of	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	23	0	0
connected from	connected_from	visual_genome_predicate_surface	visual_genome_relationship_count	yes	high	no	2	0	0
connected on	connected_on	visual_genome_predicate_surface	visual_genome_relationship_count	yes	high	no	3	0	0
connected to	connected_to	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	yes	high	yes	852	110	0
constructed of	made_of	tpp_pdep_visual_seed|visual_genome_predicate_surface	manual_relation_seed|visual_genome_relationship_count	yes	medium	no	6	0	0
