term	canonical	relation_type	confidence	is_multiword	sources	vg_count	openimages_triplet_count	synsets	alias_group	rule_id	provenance
at edge of	at_edge_of	spatial_region	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	212	0	be.v.01|border.v.05	at edge of	manual:at edge of	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
attached from	attached_from	attachment_relation	high	yes	visual_genome_relationship_count	2	0	attach.v.01		regex:attachment	visual_genome_relationship_count
attached on	attached_on	attachment_relation	high	yes	visual_genome_relationship_alias|visual_genome_relationship_count	88	0	along.r.01|be.v.01	attached on	regex:attachment	visual_genome_relationship_alias|visual_genome_relationship_count
attached to	attached_to	attachment_relation	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	9668	0	attach.v.01|be.v.01	attached to	manual:attached to	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
back of	back_of	spatial_region	medium	yes	visual_genome_relationship_alias|visual_genome_relationship_count	96	0	back.r.01|be.v.01	back of	regex:spatial_region	visual_genome_relationship_alias|visual_genome_relationship_count
built from	built_from	material_relation	high	yes	visual_genome_relationship_count	2	0	construct.v.01		regex:material	visual_genome_relationship_count
built of	made_of	material_relation	medium	yes	manual_relation_seed|visual_genome_relationship_count	4	0	construct.v.01		manual:built of	manual_relation_seed|visual_genome_relationship_count
built out of	built_out_of	material_relation	high	yes	visual_genome_relationship_count	1	0	construct.v.01		regex:material	visual_genome_relationship_count
center of	center_of	spatial_region	medium	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	19	0	focus_on.v.01	center of	manual:center of	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
close to	near	spatial_proximity	high	yes	manual_relation_seed|streusle_mwe|visual_genome_relationship_alias|visual_genome_relationship_count	609	0	be.v.01|close.v.01	close to	manual:close to	manual_relation_seed|streusle_mwe|visual_genome_relationship_alias|visual_genome_relationship_count
composed of	made_of	material_relation	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	23	0	be.v.01|write.v.01	composed of	manual:composed of	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
connected from	connected_from	attachment_relation	high	yes	visual_genome_relationship_count	2	0	associate.v.01		regex:attachment	visual_genome_relationship_count
connected on	connected_on	attachment_relation	high	yes	visual_genome_relationship_count	3	0	along.r.01		regex:attachment	visual_genome_relationship_count
connected to	connected_to	attachment_relation	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	852	0	associate.v.01|be.v.01	connected to	manual:connected to	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
constructed of	made_of	material_relation	medium	yes	manual_relation_seed|visual_genome_relationship_count	6	0	be.v.01|construct.v.01		manual:constructed of	manual_relation_seed|visual_genome_relationship_count
covered by	covered_by	surface_relation	high	yes	visual_genome_relationship_alias|visual_genome_relationship_count	358	0	be.v.01|traverse.v.01	covered by	regex:surface	visual_genome_relationship_alias|visual_genome_relationship_count
