term	canonical	role	source	source_type	parent_type	confidence	raw_name	source_url
a line	a line	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	a-line	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
above the hip (length)	above the hip (length)	size_attribute	fashionpedia	length	length	medium	above-the-hip (length)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
above the knee (length)	above the knee (length)	size_attribute	fashionpedia	length	length	medium	above-the-knee (length)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
abstract	abstract	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	abstract	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
accordion (skirt)	accordion (skirt)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	accordion (skirt)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
active	active	attribute	vaw	other	other	low	active	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
adult	adult	age_attribute	ovad	maturity	maturity	high	maturity:adult/old/aged	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
adult	adult	age_attribute	vaw	maturity	maturity	high	adult	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
aged	aged	age_attribute	ovad	maturity	maturity	high	maturity:adult/old/aged	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
aged	aged	age_attribute	vaw	maturity	maturity	high	aged	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
aged	aged	condition_attribute	vaw	newness	newness	high	aged	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
airborne	airborne	context_attribute	vaw	place	place	high	airborne	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
aliceblue	aliceblue	color_attribute	css_color_4	color	color	high	aliceblue	https://www.w3.org/TR/css-color-4/
alone	alone	attribute	vaw	other	other	low	alone	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
aluminum	aluminum	material_attribute	ovad	material	material	high	material:metal/metallic/aluminum/brass/copper-zinc/iron/stainless steel/steel/silver	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
aluminum	aluminum	material_attribute	vaw	material	material	high	aluminum	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
amber	amber	color_attribute	vaw	color	color	high	amber	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
ancient	ancient	attribute	vaw	other	other	low	ancient	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
angry	angry	expression_attribute	ovad	face expression	face expression	high	face expression:angry/mad	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
angry	angry	expression_attribute	vaw	face expression	face expression	high	angry	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
anorak	anorak	fashion_style_attribute	fashionpedia	nickname	nickname	medium	anorak	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
antique	antique	attribute	vaw	other	other	low	antique	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
antiquewhite	antiquewhite	color_attribute	css_color_4	color	color	high	antiquewhite	https://www.w3.org/TR/css-color-4/
applique(a)	applique(a)	textile_finish_attribute	fashionpedia	textile finishing, manufacturing techniques	textile finishing, manufacturing techniques	medium	applique(a)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
aqua	aqua	color_attribute	css_color_4	color	color	high	aqua	https://www.w3.org/TR/css-color-4/
aqua	aqua	color_attribute	vaw	color	color	high	aqua	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
aquamarine	aquamarine	color_attribute	css_color_4	color	color	high	aquamarine	https://www.w3.org/TR/css-color-4/
arch shaped	arch shaped	shape_attribute	vaw	shape	shape	high	arch shaped	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
argyle	argyle	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	argyle	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
armless	armless	attribute	vaw	other	other	low	armless	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
arranged	arranged	order_attribute	ovad	order	order	high	order:ordered/arranged/organized/tidy	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
arrow shaped	arrow shaped	shape_attribute	vaw	shape	shape	high	arrow shaped	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
