term	canonical	relation_type	pattern	middle	final_adp	confidence	source	notes	decision	reason	source_detail
across from	across_from	spatial_opposition	adp_adp	across	from	high	manual_clean_adposition	curated visual multiword adposition	accept	clean_visual_preposition_mwe	curated visual multiword adposition
adjacent to	next_to	spatial_proximity	adp_adp	adjacent	to	high	manual_clean_adposition	curated visual multiword adposition	accept	clean_visual_preposition_mwe	curated visual multiword adposition
ahead of	ahead_of	spatial_depth	adp_of	ahead	of	high	manual_clean_adposition	curated visual multiword adposition	accept	clean_visual_preposition_mwe	curated visual multiword adposition
along edge of	along_edge_of	spatial_path	adp_mid_of	edge	of	medium	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
along side of	along_side_of	spatial_path	adp_mid_of	side	of	medium	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
along the edge of	along_edge_of	spatial_path	adp_det_mid_of	edge	of	medium	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
along the side of	along_side_of	spatial_path	adp_det_mid_of	side	of	medium	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
alongside of	next_to	spatial_proximity	adp_of	alongside	of	medium	manual_clean_adposition	curated visual multiword adposition	accept	clean_visual_preposition_mwe	curated visual multiword adposition
at back of	at_back_of	spatial_region	adp_mid_of	back	of	medium	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
at base of	base_of	spatial_region	adp_mid_of	base	of	high	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
at bottom of	bottom_of	spatial_region	adp_mid_of	bottom	of	high	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
at center of	center_of	spatial_region	adp_mid_of	center	of	high	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
at corner of	corner_of	spatial_region	adp_mid_of	corner	of	high	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
at edge of	at_edge_of	spatial_region	adp_mid_of	edge	of	high	generated_region_pattern|mixed_relation_collapse_rules	generated spatial region pattern|imported from multiword_relation_collapse_rules.tsv:complex_preposition_phrase	accept	clean_visual_preposition_mwe	complex_preposition_phrase|generated spatial region pattern
at end of	end_of	spatial_region	adp_mid_of	end	of	high	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
at front of	at_front_of	spatial_region	adp_mid_of	front	of	medium	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
at left of	left_of	spatial_lateral	adp_mid_of	left	of	medium	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
at middle of	middle_of	spatial_region	adp_mid_of	middle	of	high	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
at right of	right_of	spatial_lateral	adp_mid_of	right	of	medium	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
at side of	side_of	spatial_lateral	adp_mid_of	side	of	medium	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
at surface of	surface_of	spatial_region	adp_mid_of	surface	of	medium	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
at the back of	at_back_of	spatial_region	adp_det_mid_of	back	of	medium	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
at the base of	base_of	spatial_region	adp_det_mid_of	base	of	high	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
at the bottom of	bottom_of	spatial_region	adp_det_mid_of	bottom	of	high	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
at the center of	center_of	spatial_region	adp_det_mid_of	center	of	high	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
at the corner of	corner_of	spatial_region	adp_det_mid_of	corner	of	high	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
at the edge of	at_edge_of	spatial_region	adp_det_mid_of	edge	of	high	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
at the end of	end_of	spatial_region	adp_det_mid_of	end	of	high	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
at the front of	at_front_of	spatial_region	adp_det_mid_of	front	of	medium	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
at the left of	left_of	spatial_lateral	adp_det_mid_of	left	of	medium	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
at the middle of	middle_of	spatial_region	adp_det_mid_of	middle	of	high	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
at the right of	right_of	spatial_lateral	adp_det_mid_of	right	of	medium	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
at the side of	side_of	spatial_lateral	adp_det_mid_of	side	of	medium	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
at the surface of	surface_of	spatial_region	adp_det_mid_of	surface	of	medium	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
at the top of	at_top_of	spatial_region	adp_det_mid_of	top	of	high	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
at top of	at_top_of	spatial_region	adp_mid_of	top	of	high	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
away from	away_from	spatial_separation	adp_adp	away	from	medium	manual_clean_adposition	curated visual multiword adposition	accept	clean_visual_preposition_mwe	curated visual multiword adposition
back of	behind	spatial_depth	mid_of	back	of	medium	generated_region_pattern|mixed_relation_collapse_rules	generated spatial region pattern|imported from multiword_relation_collapse_rules.tsv:complex_preposition_phrase	accept	clean_visual_preposition_mwe	complex_preposition_phrase|generated spatial region pattern
base of	base_of	spatial_region	mid_of	base	of	medium	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
bottom of	bottom_of	spatial_region	mid_of	bottom	of	medium	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
by side of	side_of	spatial_lateral	adp_mid_of	side	of	medium	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
by the side of	side_of	spatial_lateral	adp_det_mid_of	side	of	medium	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
center of	center_of	spatial_region	mid_of	center	of	medium	generated_region_pattern|mixed_relation_collapse_rules	generated spatial region pattern|imported from multiword_relation_collapse_rules.tsv:complex_preposition_phrase	accept	clean_visual_preposition_mwe	complex_preposition_phrase|generated spatial region pattern
close to	near	spatial_proximity	adp_adp	close	to	high	manual_clean_adposition|mixed_relation_collapse_rules	curated visual multiword adposition|imported from multiword_relation_collapse_rules.tsv:multiword_adposition_phrase	accept	clean_visual_preposition_mwe	curated visual multiword adposition|multiword_adposition_phrase
corner of	corner_of	spatial_region	mid_of	corner	of	medium	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
edge of	edge_of	spatial_region	mid_of	edge	of	medium	generated_region_pattern|mixed_relation_collapse_rules	generated spatial region pattern|imported from multiword_relation_collapse_rules.tsv:complex_preposition_phrase	accept	clean_visual_preposition_mwe	complex_preposition_phrase|generated spatial region pattern
end of	end_of	spatial_region	mid_of	end	of	medium	generated_region_pattern	generated spatial region pattern	accept	clean_visual_preposition_mwe	generated spatial region pattern
