term	canonical	collapse_strategy	matcher_type	ud_reference	spacy_rule_hint	project_relation_type	confidence
at edge of	at_edge_of	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	UD fixed/case chain, often ADP + DET? + NOUN + ADP	pre-detect longest phrase, then bind left/right noun chunks in raw tuple extraction	spatial_region	high
attached from	attached_from	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	attachment_relation	high
attached on	attached_on	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	attachment_relation	high
attached to	attached_to	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	attachment_relation	high
back of	back_of	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	UD fixed/case chain, often ADP + DET? + NOUN + ADP	pre-detect longest phrase, then bind left/right noun chunks in raw tuple extraction	spatial_region	medium
built from	built_from	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	material_relation	high
built of	made_of	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	material_relation	medium
built out of	built_out_of	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	material_relation	high
center of	center_of	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	UD fixed/case chain, often ADP + DET? + NOUN + ADP	pre-detect longest phrase, then bind left/right noun chunks in raw tuple extraction	spatial_region	medium
close to	near	multiword_adposition_phrase	PhraseMatcher longest span	UD fixed or case chain	match longest surface span before interpreting dependency edges	spatial_proximity	high
composed of	made_of	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	material_relation	high
connected from	connected_from	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	attachment_relation	high
connected on	connected_on	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	attachment_relation	high
connected to	connected_to	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	attachment_relation	high
constructed of	made_of	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	material_relation	medium
covered by	covered_by	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	surface_relation	high
covered in	covered_with	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	VERB/ADJ + ADP/case/obl; UD may use fixed for complex ADP tails	match relation head plus following preposition span; canonicalize full surface	surface_relation	high
