term	parent_chain	count_channel	confidence	source	notes
adult	person|human	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
attendee	person|human	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
boy	person|human	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
child	person|human	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
girl	person|human	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
man	person|human	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
people	person|human	entity	high	stage9_seed:parent_seed	group-like human mention
person	person|human	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
player	person|human	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
referee	person|human	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
rider	person|human	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
runner	person|human	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
woman	person|human	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
animal	animal|living_thing	entity	high	stage9_seed:parent_seed	coarse animal mention
bird	animal|living_thing	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
cat	animal|living_thing	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
cow	animal|living_thing	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
dog	animal|living_thing	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
duck	animal|living_thing	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
horse	animal|living_thing	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
sheep	animal|living_thing	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
woodpecker	bird|animal|living_thing	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
car	vehicle	entity	high	stage9_seed:parent_seed	synonym canonicalization
bicycle	vehicle	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
bus	vehicle	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
motorcycle	vehicle	entity	high	stage9_seed:parent_seed	synonym canonicalization
suv	vehicle	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
truck	vehicle	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
van	vehicle	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
vehicle	vehicle	entity	high	stage9_seed:parent_seed	coarse vehicle mention
blazer	clothing|wearable	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
cap	clothing|wearable	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
coat	clothing|wearable	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
collar	clothing|wearable	entity	medium	stage9_seed:parent_seed	ambiguous object/clothing part
dress	clothing|wearable	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
helmet	protective_gear|clothing|wearable	entity	high	stage9_seed:parent_seed	helmet is wearable but more specific as protective gear
jacket	clothing|wearable	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
jersey	clothing|wearable	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
mask	clothing|wearable	entity	medium	stage9_seed:parent_seed	ambiguous protective/face covering
scarf	clothing|wearable	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
shirt	clothing|wearable	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
shoe	clothing|wearable	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
skirt	clothing|wearable	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
suit	clothing|wearable	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
uniform	clothing|wearable	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
vest	clothing|wearable	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
camera	device|artifact	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
cell_phone	phone|device|artifact	entity	high	stage9_seed:parent_seed	synonym canonicalization
computer	device|artifact	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
device	device|artifact	entity	high	stage9_seed:parent_seed	coarse device mention
hearing_aid	device|artifact	entity	high	stage9_seed:parent_seed	synonym canonicalization
laptop	computer|device|artifact	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
monitor	device|artifact	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
phone	device|artifact	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
remote	device|artifact	entity	medium	stage9_seed:parent_seed	ambiguous remote/control object
screen	device|artifact	entity	high	stage9_seed:parent_seed	keep fine lemma, add parent for coarse counting
tablet	device|artifact	entity	medium	stage9_seed:parent_seed	ambiguous tablet/device
