term	count	synsets	alias_group
on	667990	along.r.01|be.v.01	on
has	245977	be.v.01|have.v.01	has
in	225353	be.v.01|in.r.01	in
of	129214	be.v.01	of
wearing	124834	be.v.01|call.v.03|consume.v.03|water.v.01|wear.v.01	wearing
with	63608	be.v.01	with
behind	39961	be.v.01|behind.r.01	behind
holding	37483	be.v.01|have.v.01	holding
on top of	31575	along.r.01|be.v.01|exceed.v.02	on top of
on a	27677	along.r.01|be.v.01	on
near	26445	about.r.07|be.v.01	near
next to	24867	be.v.01|next.r.01	next to
has a	23510	have.v.01	has
under	18459	be.v.01|under.r.01	under
of a	16013	be.v.01	of
by	15909	be.v.01|by.r.01	by
wears	14959	approach.v.01|wear.v.01	wears
above	13844	above.r.01|be.v.01	above
sitting on	13782	along.r.01|be.v.01|sit.v.01	sitting on
in front of	13204	along.r.01|be.v.01|front.v.01|in.r.01	in front of
wearing a	10882	be.v.01|wear.v.01	wearing
on side of	10845	along.r.01|be.v.01	on side of
in a	9781	be.v.01|in.r.01	in
are on	9685	be.v.01	on
attached to	9668	attach.v.01|be.v.01	attached to
at	9154	be.v.01	at
over	8973	be.v.01|over.r.01	over
for	8673	be.v.01	for
around	7638	approximately.r.01|be.v.01	around
standing on	7594	along.r.01|be.v.01|stand.v.01	standing on
beside	7571	be.v.01	beside
riding	7551	be.v.01|depend_on.v.01|rid.v.01	riding
inside	6502	be.v.01|inside.r.01	inside
standing in	5898	be.v.01|in.r.01|stand.v.01	standing in
hanging on	5412	along.r.01|be.v.01	hanging on
have	5360	have.v.01	have
are in	4744	be.v.01	in
carrying	4630	be.v.01|transport.v.02	carrying
on front of	4587	along.r.01|be.v.01	on front of
holds	4446	have.v.01	holds
eating	4436	be.v.01|eat.v.01	eating
walking on	4416	along.r.01|be.v.01|walk.v.01	walking on
hanging from	4073	be.v.01|hang.v.01	hanging from
covering	3693	be.v.01|traverse.v.01	covering
playing	3677	be.v.01|play.v.01	playing
inside of	3582	be.v.01|inside.r.01	inside of
laying on	3545	along.r.01|be.v.01|put.v.01	laying on
sitting in	3520	be.v.01|in.r.01|sit.v.01	sitting in
along	3499	along.r.01|be.v.01	along
between	3387	be.v.01|between.r.02	between
below	3371	be.v.01|below.r.01	below
and	3313		and
watching	3290	be.v.01|watch.v.01	watching
belonging to	3287	belong_to.v.01	belonging to
painted on	3017	along.r.01|be.v.01	painted on
against	2998	be.v.01	against
looking at	2984	be.v.01|look.v.02	looking at
has an	2802	have.v.01	has
from	2785	be.v.01	from
with a	2666	be.v.01	with
parked on	2653	along.r.01|be.v.01	parked on
to	2342	be.v.01	to
made of	2332	be.v.01|make.v.01	made of
covered in	2249	be.v.01|in.r.01|traverse.v.01	covered in
says	2241	state.v.01	
mounted on	2220	along.r.01|be.v.01	mounted on
across	1950	across.r.01|be.v.01	across
flying in	1932	be.v.01|fly.v.01	flying in
part of	1927	be.v.01|depart.v.03	part of
on back of	1848	back.r.01|be.v.01	on back of
lying on	1802	be.v.01|lie.v.01	lying on
growing on	1782	be.v.01|turn.v.07	growing on
using	1731	be.v.01|use.v.01	using
walking in	1660	be.v.01|in.r.01|walk.v.01	walking in
outside	1601	be.v.01|outside.r.01	outside
crossing	1594	be.v.01|traverse.v.01	crossing
worn by	1512	be.v.01|wear.v.01	worn by
underneath	1509	be.v.01	underneath
printed on	1491	along.r.01|be.v.01	printed on
sitting at	1490	be.v.01|sit.v.01	sitting at
full of	1382	be.v.01|fully.r.01	full of
filled with	1379	be.v.01|fill.v.01	filled with
flying	1374	be.v.01|fly.v.01	flying
hanging in	1369	be.v.01|hang.v.01|in.r.01	hanging in
beneath	1356	be.v.01|below.r.01	beneath
sitting on top of	1314	along.r.01|be.v.01|sit.v.01	sitting on top of
swinging	1302	be.v.01|slug.v.01|swing.v.01	swinging
covered with	1294	be.v.01|traverse.v.01	covered with
in middle of	1260	be.v.01|in.r.01	in middle of
riding a	1187	be.v.01|depend_on.v.01	riding
standing next to	1176	be.v.01|next.r.01|stand.v.01	standing next to
built into	1154	be.v.01|construct.v.01	built into
pulling	1144	be.v.01|pull.v.01	pulling
touching	1102	be.v.01|refer.v.02	touching
adorning	1076	decorate.v.01	
a	1059	be.v.01	
hitting	1030	be.v.01|reach.v.01	hitting
laying in	1004	be.v.01|put.v.01	laying in
supporting	1002	be.v.01|digest.v.03	supporting
written on	989	along.r.01|be.v.01|write.v.01	written on
leaning on	987	along.r.01|be.v.01|tend.v.01	leaning on
holding up	971	be.v.01|have.v.01|up.r.01	holding up
of an	967		of
growing in	957	be.v.01|turn.v.07	growing in
standing	954	be.v.01|stand.v.01	standing
lying on top of	950	be.v.01|lie.v.01	lying on top of
next	943	be.v.01|next.r.01	next
driving on	923	along.r.01|be.v.01	driving on
parked in	920	be.v.01|in.r.01	parked in
are behind	918	be.v.01	behind
resting on	908	be.v.01|stay.v.01	resting on
playing with	908	be.v.01|play.v.01	playing with
standing behind	907	be.v.01|behind.r.01|stand.v.01	standing behind
riding on	891	along.r.01|be.v.01	riding on
contains	885	incorporate.v.02	contains
held by	882	be.v.01|have.v.01	held by
standing by	876	be.v.01|by.r.01|stand.v.01	standing by
walking	855	be.v.01|walk.v.01	walking
connected to	852	associate.v.01|be.v.01	connected to
walking down	826	be.v.01|down.r.01|walk.v.01	walking down
sitting on a	825	be.v.01|sit.v.01	sitting on
is on	818	be.v.01	on
surrounding	815	be.v.01|surround.v.01	surrounding
has on	797	have.v.01	has on
on bottom of	793	along.r.01|be.v.01	on bottom of
cutting	793	be.v.01|reduce.v.01	cutting
throwing	776	be.v.01|hold.v.03	throwing
sitting	764	be.v.01|sit.v.01	sitting
are on top of	757	be.v.01	on top of
lining	752	be.v.01|trace.v.02	lining
through	747	be.v.01|through.r.01	through
standing near	744	about.r.07|be.v.01	standing near
floating in	740	be.v.01|float.v.01|in.r.01	floating in
covered	735	be.v.01|traverse.v.01	covered
shows	731	show.v.01	shows
sits on	720	sit.v.01	sits on
on the	714	along.r.01	on
on top of a	713	along.r.01|be.v.01	on top of
facing	712	be.v.01|confront.v.02	facing
on top	711	along.r.01|be.v.01	on top
talking on	699	along.r.01|be.v.01|talk.v.01	talking on
front	691	be.v.01|front.v.01	front
grazing in	682	be.v.01|in.r.01	grazing in
casting	680	be.v.01|roll.v.12	casting
containing	680	be.v.01|incorporate.v.02	containing
sticking out of	670	away.r.02|be.v.01|stay.v.02	sticking out of
hanging over	665	be.v.01|hang.v.01|over.r.01	hanging over
catching	660	be.v.01|watch.v.03	catching
lying in	657	be.v.01|lie.v.01	lying in
to right of	632	be.v.01|properly.r.01	to right of
drinking	630	be.v.01|drink.v.01	drinking
near a	630	about.r.07|be.v.01	near
playing in	626	be.v.01|in.r.01|play.v.01	playing in
atop	619	atop.r.01|be.v.01	atop
reflected in	614	be.v.01|chew_over.v.01	reflected in
close to	609	be.v.01|close.v.01	close to
leaning against	603	be.v.01|tend.v.01	leaning against
on side	590	along.r.01|be.v.01	on side
showing	589	be.v.01|show.v.01	showing
are	585	be.v.01	
covers	582	traverse.v.01	covers
driving	561	be.v.01|drive.v.01	driving
looking	554	be.v.01|look.v.02|overcharge.v.01	looking
beyond	553	be.v.01|beyond.r.01	beyond
standing in front of	549	be.v.01|stand.v.01	standing in front of
to left of	542	be.v.01|leave.v.01	to left of
front of	540	be.v.01|front.v.01	front of
in front	530	be.v.01|in.r.01	in front
playing on	525	be.v.01|play.v.01	playing on
carrying a	523	be.v.01|transport.v.02	carrying
leading to	521	be.v.01|lead.v.01	leading to
reading	512	be.v.01|read.v.01	reading
rides	506	depend_on.v.01	rides
swimming in	502	be.v.01|in.r.01	swimming in
in back of	491	back.r.01|be.v.01	in back of
wears a	490	be.v.01|wear.v.01	wears
are on a	487	be.v.01	on
dressed in	487	be.v.01|in.r.01	dressed in
worn on	474	be.v.01|wear.v.01	worn on
alongside	468	along.r.01|be.v.01	alongside
belongs to	463	belong_to.v.01	belongs to
white	460	be.v.01|whiten.v.01	white
surrounded by	460	be.v.01|by.r.01	surrounded by
outside of	459	be.v.01|outside.r.01	outside of
walking with	453	be.v.01|walk.v.01	walking with
hanging	443	be.v.01|hang.v.01	hanging
tied to	439	be.v.01|tie.v.01	tied to
on edge of	438	along.r.01|be.v.01	on edge of
coming out of	430	arrive.v.01|away.r.02|be.v.01	coming out of
hanging above	427	be.v.01|hang.v.01	hanging above
driving down	426	be.v.01|down.r.01	driving down
off	425	away.r.01|be.v.01	off
behind a	423	be.v.01|behind.r.01	behind
eats	423	eat.v.01	eats
coming from	421	arrive.v.01|be.v.01	coming from
at a	419	be.v.01	at
seen	417	be.v.01|see.v.01	seen
shining on	415	along.r.01|be.v.01	shining on
at top of	414	be.v.01|exceed.v.02	at top of
pushing	413	be.v.01|push.v.01	pushing
next to a	405	be.v.01|next.r.01	next to
