alias	alias_group	source
near	near	visual_genome_relationship_alias
next to	near	visual_genome_relationship_alias
near	near	visual_genome_relationship_alias
around	near	visual_genome_relationship_alias
near	near	visual_genome_relationship_alias
by	near	visual_genome_relationship_alias
near	near	visual_genome_relationship_alias
beside	near	visual_genome_relationship_alias
near	near	visual_genome_relationship_alias
on side of	near	visual_genome_relationship_alias
above	above	visual_genome_relationship_alias
on top of	above	visual_genome_relationship_alias
on	on	visual_genome_relationship_alias
on front of	on	visual_genome_relationship_alias
hanging from	hanging from	visual_genome_relationship_alias
hanging on	hanging from	visual_genome_relationship_alias
in	in	visual_genome_relationship_alias
inside of	in	visual_genome_relationship_alias
in	in	visual_genome_relationship_alias
inside	in	visual_genome_relationship_alias
holding	holding	visual_genome_relationship_alias
holds	holding	visual_genome_relationship_alias
has	has	visual_genome_relationship_alias
have	has	visual_genome_relationship_alias
sitting on	sitting on	visual_genome_relationship_alias
sitting in	sitting on	visual_genome_relationship_alias
standing on	standing on	visual_genome_relationship_alias
standing in	standing on	visual_genome_relationship_alias
under	under	visual_genome_relationship_alias
below	under	visual_genome_relationship_alias
carrying a kite on	carrying a kite on	visual_genome_relationship_alias
carrying a kite on a	carrying a kite on	visual_genome_relationship_alias
next to each	next to each	visual_genome_relationship_alias
are next to each	next to each	visual_genome_relationship_alias
near a farm	near a farm	visual_genome_relationship_alias
are near a farm	near a farm	visual_genome_relationship_alias
at edge of	at edge of	visual_genome_relationship_alias
are at edge of	at edge of	visual_genome_relationship_alias
at edge of a	at edge of	visual_genome_relationship_alias
four	four	visual_genome_relationship_alias
are four	four	visual_genome_relationship_alias
hanging	hanging	visual_genome_relationship_alias
are hanging	hanging	visual_genome_relationship_alias
hanging are	hanging	visual_genome_relationship_alias
hanging a	hanging	visual_genome_relationship_alias
red flower	red flower	visual_genome_relationship_alias
a red flower	red flower	visual_genome_relationship_alias
drinking at	drinking at	visual_genome_relationship_alias
drinking at a	drinking at	visual_genome_relationship_alias
secured in	secured in	visual_genome_relationship_alias
secured in a	secured in	visual_genome_relationship_alias
hanging banners	hanging banners	visual_genome_relationship_alias
hanging banners are	hanging banners	visual_genome_relationship_alias
feeding	feeding	visual_genome_relationship_alias
feeding an	feeding	visual_genome_relationship_alias
feeding a	feeding	visual_genome_relationship_alias
are feeding	feeding	visual_genome_relationship_alias
waring	waring	visual_genome_relationship_alias
waring a	waring	visual_genome_relationship_alias
has on	has on	visual_genome_relationship_alias
has on a	has on	visual_genome_relationship_alias
trying to hit	trying to hit	visual_genome_relationship_alias
trying to hit a	trying to hit	visual_genome_relationship_alias
of a truck traveling under	of a truck traveling under	visual_genome_relationship_alias
of a truck traveling under a	of a truck traveling under	visual_genome_relationship_alias
walking toward	walking toward	visual_genome_relationship_alias
are walking toward	walking toward	visual_genome_relationship_alias
walking toward a	walking toward	visual_genome_relationship_alias
held up by	held up by	visual_genome_relationship_alias
held up by a	held up by	visual_genome_relationship_alias
sticking out in front of	sticking out in front of	visual_genome_relationship_alias
sticking out in front of a	sticking out in front of	visual_genome_relationship_alias
running on	running on	visual_genome_relationship_alias
running on a	running on	visual_genome_relationship_alias
are running on	running on	visual_genome_relationship_alias
bike	bike	visual_genome_relationship_alias
a bike	bike	visual_genome_relationship_alias
under	under	visual_genome_relationship_alias
under a	under	visual_genome_relationship_alias
are under	under	visual_genome_relationship_alias
are under a	under	visual_genome_relationship_alias
under an	under	visual_genome_relationship_alias
under the	under	visual_genome_relationship_alias
is under	under	visual_genome_relationship_alias
are under an	under	visual_genome_relationship_alias
is under the	under	visual_genome_relationship_alias
teaching	teaching	visual_genome_relationship_alias
teaching a	teaching	visual_genome_relationship_alias
nest on	nest on	visual_genome_relationship_alias
nest on a	nest on	visual_genome_relationship_alias
walking next to	walking next to	visual_genome_relationship_alias
are walking next to	walking next to	visual_genome_relationship_alias
walking next to a	walking next to	visual_genome_relationship_alias
grazing at	grazing at	visual_genome_relationship_alias
grazing at a	grazing at	visual_genome_relationship_alias
waiting for meal sittting at	waiting for meal sittting at	visual_genome_relationship_alias
are waiting for meal sittting at	waiting for meal sittting at	visual_genome_relationship_alias
performs	performs	visual_genome_relationship_alias
performs a	performs	visual_genome_relationship_alias
all visible of	all visible of	visual_genome_relationship_alias
are all visible of	all visible of	visual_genome_relationship_alias
silver drain	silver drain	visual_genome_relationship_alias
a silver drain	silver drain	visual_genome_relationship_alias
being used by	being used by	visual_genome_relationship_alias
being used by a	being used by	visual_genome_relationship_alias
people are in	people are in	visual_genome_relationship_alias
people are in a	people are in	visual_genome_relationship_alias
flying creates	flying creates	visual_genome_relationship_alias
flying creates a	flying creates	visual_genome_relationship_alias
illustrated on	illustrated on	visual_genome_relationship_alias
illustrated on a	illustrated on	visual_genome_relationship_alias
black and on	black and on	visual_genome_relationship_alias
are black and on	black and on	visual_genome_relationship_alias
windshield on front of	windshield on front of	visual_genome_relationship_alias
windshield on front of a	windshield on front of	visual_genome_relationship_alias
swatting at	swatting at	visual_genome_relationship_alias
swatting at a	swatting at	visual_genome_relationship_alias
all have	all have	visual_genome_relationship_alias
