term	canonical	verb	particle_1	particle_2	source	source_count	candidate_type	visual_relevance	caption_plausibility	collapse_policy	decision	confidence	reason
look at	look_at	look	at		visual_genome_relation_predicates|gqa_relation_predicates	4439	prepositional_verb	high	high	action_target	maybe	medium	gaze target is useful but should not be collapsed until action-target roles are explicitly modeled
reach for	reach_for	reach	for		visual_genome_relation_predicates|gqa_relation_predicates	359	prepositional_verb	high	high	action_target	maybe	medium	target-seeking action; keep separate until action-target policy is added
point at	point_at	point	at		visual_genome_relation_predicates|gqa_relation_predicates	133	prepositional_verb	high	high	action_target	maybe	medium	deictic target relation; useful but not a particle-verb canonical action yet
look on	look_on	look	on		visual_genome_relation_predicates	15	prepositional_verb	low	medium	keep_action_plus_relation	reject	high	ambiguous gaze/stance expression; not a safe visual particle-action collapse
walk down	walk_down	walk	down		visual_genome_relation_predicates|gqa_relation_predicates	1162	verb_prep_path	medium	high	keep_action_plus_relation	reject	high	ordinary motion plus path/direction relation; avoid collapsing spatial information into action label
drive down	drive_down	drive	down		visual_genome_relation_predicates|gqa_relation_predicates	596	verb_prep_path	medium	high	keep_action_plus_relation	reject	high	ordinary motion plus path/direction relation
fly over	fly_over	fly	over		visual_genome_relation_predicates|gqa_relation_predicates	385	verb_prep_path	medium	high	keep_action_plus_relation	reject	high	ordinary motion plus spatial relation over
stand on	stand_on	stand	on		visual_genome_relation_predicates|gqa_relation_predicates	10550	verb_prep_spatial	medium	high	keep_action_plus_relation	reject	high	posture action plus support relation; should remain action stand and relation on
sit in	sit_in	sit	in		visual_genome_relation_predicates|gqa_relation_predicates	4714	verb_prep_spatial	medium	high	keep_action_plus_relation	reject	high	posture action plus containment/location relation
surround by	surround_by	surround	by		visual_genome_relation_predicates|gqa_relation_predicates	966	passive_by	high	high	passive_canonicalize	reject	high	passive by-frame, not a phrasal action; Stage 9 maps nsubjpass to theme and by to causer
fill with	fill_with	fill	with		visual_genome_relation_predicates|gqa_relation_predicates	1934	predicate_with_arg	high	high	keep_raw_relation	reject	high	predicate-specific content frame, not particle verb canonicalization
fill out	fill_out	fill	out		visual_genome_relation_predicates	1	abstract_or_form_fill	low	low	none	reject	high	usually form/text completion rather than visually countable physical image-caption action
cover with	cover_with	cover	with		visual_genome_relation_predicates|gqa_relation_predicates	1750	predicate_with_arg	high	high	keep_raw_relation	reject	high	predicate-specific covering/material frame, not particle verb canonicalization
wrap around	wrap_around	wrap	around		visual_genome_relation_predicates|gqa_relation_predicates	461	predicate_with_arg	high	high	keep_raw_relation	reject	high	predicate plus around argument; keep raw relation until argument-frame canonicalization exists
plug into	plug_into	plug	into		visual_genome_relation_predicates|gqa_relation_predicates	368	predicate_with_arg	high	high	keep_raw_relation	reject	high	connection target frame; not a safe particle-action collapse
