term	parent_chain	count_channel	confidence	source	notes
bend	body_pose_action|visual_action	action	high	stage9_seed:parent_seed	keep lemma, add parent for coarse counting
bend_over	body_pose_action|visual_action	action	high	stage9_seed:parent_seed	phrasal action canonical already collapsed
carry	manipulation_action|visual_action	action	high	stage9_seed:parent_seed	object manipulation
clap	gesture_action|visual_action	action	high	stage9_seed:parent_seed	human gesture
control	manipulation_action|visual_action	action	medium	stage9_seed:parent_seed	physical control/manipulation when visual
wear	wearing_action|visual_action	action	high	stage9_seed:parent_seed	synonym-like visual action canonicalization
face	orientation_action|visual_action	action	high	stage9_seed:parent_seed	orientation action
glide	locomotion_action|visual_action	action	high	stage9_seed:parent_seed	motion action
hang	attachment_action|visual_action	action	high	stage9_seed:parent_seed	attachment/posture action
hold	manipulation_action|visual_action	action	high	stage9_seed:parent_seed	object manipulation
hold_up	manipulation_action|visual_action	action	high	stage9_seed:parent_seed	phrasal action canonical already collapsed
jump	locomotion_action|visual_action	action	high	stage9_seed:parent_seed	motion action
jump_off	locomotion_action|visual_action	action	high	stage9_seed:parent_seed	phrasal action canonical already collapsed
lie	body_pose_action|visual_action	action	high	stage9_seed:parent_seed	body pose
lie_down	body_pose_action|visual_action	action	high	stage9_seed:parent_seed	phrasal action canonical already collapsed
look	gaze_action|visual_action	action	high	stage9_seed:parent_seed	visual attention action
move	locomotion_action|visual_action	action	high	stage9_seed:parent_seed	motion action
pick_up	manipulation_action|visual_action	action	high	stage9_seed:parent_seed	phrasal action canonical already collapsed
play	activity_action|visual_action	action	high	stage9_seed:parent_seed	activity action
point	gesture_action|visual_action	action	high	stage9_seed:parent_seed	human gesture
pose	body_pose_action|visual_action	action	high	stage9_seed:parent_seed	body pose
put_down	manipulation_action|visual_action	action	high	stage9_seed:parent_seed	phrasal action canonical already collapsed
read	text_interaction_action|visual_action	action	medium	stage9_seed:parent_seed	visual text interaction
ride	locomotion_action|visual_action	action	high	stage9_seed:parent_seed	motion action
run	locomotion_action|visual_action	action	high	stage9_seed:parent_seed	motion action
sit	body_pose_action|visual_action	action	high	stage9_seed:parent_seed	spaCy lemma for seated posture; count with sit
sit_down	body_pose_action|visual_action	action	high	stage9_seed:parent_seed	phrasal action canonical already collapsed
skate	locomotion_action|visual_action	action	high	stage9_seed:parent_seed	motion action
smile	expression_action|visual_action	action	high	stage9_seed:parent_seed	facial expression
speak	communication_action|visual_action	action	medium	stage9_seed:parent_seed	communication action visible only through context
stand	body_pose_action|visual_action	action	high	stage9_seed:parent_seed	body pose
stand_up	body_pose_action|visual_action	action	high	stage9_seed:parent_seed	phrasal action canonical already collapsed
swim	locomotion_action|visual_action	action	high	stage9_seed:parent_seed	motion action
talk	communication_action|visual_action	action	medium	stage9_seed:parent_seed	communication action visible only through context
walk	locomotion_action|visual_action	action	high	stage9_seed:parent_seed	motion action
watch	gaze_action|visual_action	action	medium	stage9_seed:parent_seed	visual attention action
