term	canonical	project_relation_type	snacs_supersenses	collapse_strategy	matcher_type	surface_sources	visual_sources	vg_count	gqa_count	openimages_triplet_count	confidence
at edge of	at_edge_of	spatial_region	p.Locus	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	212	0	0	high
attached to	attached_to	attachment_relation	p.Locus	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	9668	279	0	high
close to	near	spatial_proximity	p.Locus	multiword_adposition_phrase	PhraseMatcher longest span	gqa_scene_graph_relation_surface|streusle_mwe|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	609	160	0	high
composed of	made_of	material_relation	p.Stuff	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	23	0	0	high
connected to	connected_to	attachment_relation	p.Locus	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	852	110	0	high
covered by	covered_by	surface_relation	p.Locus	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	358	1682	0	high
covered in	covered_with	surface_relation	p.Locus	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	2249	746	0	high
covered with	covered_with	surface_relation	p.Locus	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	1294	456	0	high
front of	in_front_of	spatial_depth	p.Locus	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	540	0	0	high
hanging from	hanging_from	attachment_relation	p.Locus	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	5412	1051	0	high
hanging on	hanging_on	attachment_relation	p.Locus	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	5412	1622	0	high
in back of	behind	spatial_depth	p.Locus	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	491	0	0	high
in center of	center_of	spatial_region	p.Locus	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	218	0	0	high
in front of	in_front_of	spatial_depth	p.Goal|p.Locus	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	gqa_scene_graph_relation_surface|streusle_mwe|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	13204	21626	0	high
in middle of	middle_of	spatial_region	p.Locus	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	1260	0	0	high
in the back of	behind	spatial_depth	p.Locus	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	tpp_pdep_visual_seed		0	0	0	high
in the center of	center_of	spatial_region	p.Locus	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	tpp_pdep_visual_seed		0	0	0	high
in the front of	in_front_of	spatial_depth	p.Locus	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	tpp_pdep_visual_seed		0	0	0	high
in the middle of	middle_of	spatial_region	p.Circumstance|p.Locus	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	streusle_mwe|tpp_pdep_visual_seed|visual_genome_predicate_surface	visual_genome_relationship_count	1	0	0	high
inside of	inside	spatial_containment	p.Locus	multiword_adposition_phrase	PhraseMatcher longest span	openimages_predicate_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	openimages_relationship_triplet|visual_genome_relationship_alias|visual_genome_relationship_count	225353	0	48	high
interacts with	interacts_with	action_relation		predicate_plus_adposition_or_object	DependencyMatcher	openimages_predicate_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface	openimages_relationship_triplet|visual_genome_relationship_count	2	0	89	high
