term	canonical	roles	primary_role	sources	source_types	parent_types	confidence	source_count	entry_count	provenance
a line	a line	silhouette_attribute	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	1	1	modifier_attributes_clean
above the hip (length)	above the hip (length)	size_attribute	size_attribute	fashionpedia	length	length	medium	1	1	modifier_attributes_clean
above the knee (length)	above the knee (length)	size_attribute	size_attribute	fashionpedia	length	length	medium	1	1	modifier_attributes_clean
abstract	abstract	pattern_attribute	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	1	1	modifier_attributes_clean
accordion (skirt)	accordion (skirt)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
adult	adult	age_attribute	age_attribute	coco_attributes|ovad|vaw	maturity|object_attribute	clean_exact_overlap|maturity	high	3	3	coco_high_typed|modifier_attributes_clean
aged	aged	age_attribute|condition_attribute	condition_attribute	ovad|vaw	maturity|newness	maturity|newness	high	2	3	modifier_attributes_clean
airborne	airborne	context_attribute	context_attribute	vaw	place	place	high	1	1	modifier_attributes_clean
aliceblue	aliceblue	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
aluminum	aluminum	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
amber	amber	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
angry	angry	expression_attribute	expression_attribute	coco_attributes|ovad|vaw	face expression|object_attribute	clean_exact_overlap|face expression	high	3	3	coco_high_typed|modifier_attributes_clean
anorak	anorak	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
antiquewhite	antiquewhite	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
applique(a)	applique(a)	textile_finish_attribute	textile_finish_attribute	fashionpedia	textile finishing, manufacturing techniques	textile finishing, manufacturing techniques	medium	1	1	modifier_attributes_clean
aqua	aqua	color_attribute	color_attribute	css_color_4|vaw	color	color	high	2	2	modifier_attributes_clean
aquamarine	aquamarine	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
arch shaped	arch shaped	shape_attribute	shape_attribute	vaw	shape	shape	high	1	1	modifier_attributes_clean
argyle	argyle	pattern_attribute	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	1	1	modifier_attributes_clean
arranged	arranged	order_attribute	order_attribute	ovad	order	order	high	1	1	modifier_attributes_clean
arrow shaped	arrow shaped	shape_attribute	shape_attribute	vaw	shape	shape	high	1	1	modifier_attributes_clean
asian	asian	race_attribute	race_attribute	vaw	race	race	high	1	1	modifier_attributes_clean
asphalt	asphalt	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
asymmetric (collar)	asymmetric (collar)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
asymmetric (neckline)	asymmetric (neckline)	clothing_cut_attribute	clothing_cut_attribute	fashionpedia	neckline type	neckline type	medium	1	1	modifier_attributes_clean
asymmetrical	asymmetrical	silhouette_attribute	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	1	1	modifier_attributes_clean
azure	azure	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
baby	baby	age_attribute	age_attribute	ovad|vaw	maturity|other	maturity|other	high	2	2	modifier_attributes_clean
baggy	baggy	silhouette_attribute	silhouette_attribute	fashionpedia|vaw	other|silhouette	other|silhouette	medium	2	2	modifier_attributes_clean
baked	baked	food_state_attribute	food_state_attribute	ovad|vaw	cooked|other	cooked|other	high	2	2	modifier_attributes_clean
